PROYECTO (GRUPO),ID,NOMBRE DEL SUBPROYECTO,desc_empresa_n,val_empresa_n,desc_empresa_s,val_empresa_s,desc_empresa_u,val_empresa_u,grado_empresa_n,nivel_empresa_n,valor_añadido_empresa_n,error_empresa_n,observación_empresa_n,grado_empresa_s,nivel_empresa_s,valor_añadido_empresa_s,error_empresa_s,observación_empresa_s,grado_empresa_u,nivel_empresa_u,valor_añadido_empresa_u,error_empresa_u,observación_empresa_u
Aulas Virtuales (AV),AV12,Generador de textos,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: opción de generar textos en distintos idiomas con IA,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,opción de generar textos en distintos idiomas con IA,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Aulas Virtuales (AV),AV13,POC RAG por curso,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Aulas Virtuales (AV),AV14,Integración NIA alumnos,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: mostrar NIA enmascarado cuando no sea imprescindible verlo completo,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,mostrar NIA enmascarado cuando no sea imprescindible verlo completo,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV15,SSO en Moodle,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: SSO funcional desde el aplicativo móvil,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,SSO funcional desde el aplicativo móvil,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV16,Plugin Kuet,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: prueba de carga específica para Kuet,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,prueba de carga específica para Kuet,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV17,Plugin Offline Quiz,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: modo de previsualización,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,modo de previsualización,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV18,Integración calificaciones,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: simulación previa “validar sin enviar”,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,simulación previa “validar sin enviar”,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV19,Borrado de cursos,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: añadir estimación previa de impacto,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,añadir estimación previa de impacto,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV20,Moosh,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV21,Moodler,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: añadir scopes de API por tipo de operación,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,añadir scopes de API por tipo de operación,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED1,Subtítulos multiidioma,Propuesta técnica con error técnico relevante: error BBDD,0,Propuesta técnica con valor añadido: incorporar todos los subtítulos multiidioma en las búsquedas por Elastic,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,MUY BAJA,NO,SÍ,error BBDD,SUFICIENTE,EXCELENTE,VA,NO,incorporar todos los subtítulos multiidioma en las búsquedas por Elastic,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mediateca (MED),MED2,Elastic en búsquedas,Propuesta técnica con error técnico relevante: omisión funcional crítica,0,Propuesta técnica con valor añadido: “modo explicación”,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,MUY BAJA,NO,SÍ,omisión funcional crítica,SUFICIENTE,EXCELENTE,VA,NO,“modo explicación”,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mediateca (MED),MED3,SSO,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: limitar la comprobación de sesión activa en ciertos casos,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,limitar la comprobación de sesión activa en ciertos casos,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED4,Scratch editor,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: guardado de versiones anteriores del proyecto,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,guardado de versiones anteriores del proyecto,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED5,eXeLearning 3,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: comprobación previa del ZIP e informe al usuario,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,comprobación previa del ZIP e informe al usuario,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED6,Bajas de usuarios,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: modo “simulación”,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,modo “simulación”,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED7,Subidas JPEG,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: mostrar antes de enviar validación ligera en cliente para extensiones admitidas,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,mostrar antes de enviar validación ligera en cliente para extensiones admitidas,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED8,Páginas de error,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: bloque “qué puedo hacer ahora”,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,bloque “qué puedo hacer ahora”,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED9,Subtítulos en audio,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: transcripción multiidioma,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,transcripción multiidioma,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Mediateca (MED),MED10,IA en vídeos,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: indicador interno de confianza,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,indicador interno de confianza,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mediateca (MED),MED11,Refactorización de código,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: mapa vivo de deuda técnica,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,mapa vivo de deuda técnica,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Correo web (COR),COR1,Adaptación a última versión,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: pantalla de diagnóstico,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,pantalla de diagnóstico,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Correo web (COR),COR2,IA en correoweb,"Propuesta técnica con error técnico relevante: falta de conocimiento del entorno de EducaMadrid, que usa xAI modificado, y propuesta de desarrollo desde cero innecesario",0,Propuesta técnica con valor añadido: botón “el resumen no es correcto”,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,MUY BAJA,NO,SÍ,"falta de conocimiento del entorno de EducaMadrid, que usa xAI modificado, y propuesta de desarrollo desde cero innecesario",SUFICIENTE,EXCELENTE,VA,NO,botón “el resumen no es correcto”,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Correo Web (COR),COR3,Redacción de correos,"Propuesta técnica con error técnico relevante: falta de conocimiento del entorno de EducaMadrid, que usa xAI modificado, y propuesta de desarrollo desde cero innecesario",0,Propuesta técnica con valor añadido: opción “mantener tono institucional”,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,MUY BAJA,NO,SÍ,"falta de conocimiento del entorno de EducaMadrid, que usa xAI modificado, y propuesta de desarrollo desde cero innecesario",SUFICIENTE,EXCELENTE,VA,NO,opción “mantener tono institucional”,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Correo Web (COR),COR4,Reescritura de correos,"Propuesta técnica con error técnico relevante: falta de conocimiento del entorno de EducaMadrid, que usa xAI modificado, y propuesta de desarrollo desde cero innecesario",0,Propuesta técnica con valor añadido: opción “no cambiar información factual”,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,MUY BAJA,NO,SÍ,"falta de conocimiento del entorno de EducaMadrid, que usa xAI modificado, y propuesta de desarrollo desde cero innecesario",SUFICIENTE,EXCELENTE,VA,NO,opción “no cambiar información factual”,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Cloud (CLO),CLO1,Evolución del servicio Cloud,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
Cloud (CLO),CLO2,IA en Cloud,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
WordPress Multisite (WPM),WPM1,Mantenimiento y actualización,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: panel técnico interno de versiones por componente,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,panel técnico interno de versiones por componente,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
WordPress Multisite (WPM),WPM2,Licencias de plugins/temas,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: aviso de licencias a punto de caducar o pendientes de activar,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,aviso de licencias a punto de caducar o pendientes de activar,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
WordPress Multisite (WPM),WPM3,Configuración WAF,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: procedimiento de correlación entre eventos del WAF y logs de WordPress,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo general: WAF y seguridad.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,procedimiento de correlación entre eventos del WAF y logs de WordPress,SUFICIENTE,ALTA,NO,NO,Desarrollo general: WAF y seguridad.
WordPress Multisite (WPM),WPM4,Sustitución captcha,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: mejoras en captcha,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,mejoras en captcha,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
WordPress Multisite (WPM),WPM5,Integración SSO,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: política individualizada de 2FA,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo general: caso de uso operativo.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,política individualizada de 2FA,SUFICIENTE,ALTA,NO,NO,Desarrollo general: caso de uso operativo.
Videoconferencia y Retransmisión (VID),VID1,Wowza,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: recolector de métricas por emisión,10,Propuesta técnica incluida con desarrollo insuficiente: Mención sin desarrollo técnico completo.,2,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,recolector de métricas por emisión,INSUFICIENTE,BAJA,NO,NO,Mención sin desarrollo técnico completo.
